"","Comunidades","Provincias","Municipios","Zona TJ","localizacion_completa","lat","long"
"1","Galicia","A Coruña","Cabanas","As Pontes","Galicia, A Coruña, Cabanas",43.4186891,-8.1609242
"2","Galicia","A Coruña","A Capela","As Pontes","Galicia, A Coruña, A Capela",43.4420677,-8.04340047908219
"3","Galicia","A Coruña","Cerdido","As Pontes","Galicia, A Coruña, Cerdido",43.60429515,-7.96540620336505
"4","Galicia","A Coruña","Ferrol","As Pontes","Galicia, A Coruña, Ferrol",43.4846862,-8.233162
"5","Galicia","A Coruña","Mañón","As Pontes","Galicia, A Coruña, Mañón",43.66962345,-7.7250321303165
"6","Galicia","A Coruña","Moeche","As Pontes","Galicia, A Coruña, Moeche",43.5621201,-7.97190503889491
"7","Galicia","A Coruña","Monfero","As Pontes","Galicia, A Coruña, Monfero",43.34531125,-7.98715739702232
"8","Galicia","A Coruña","Ortigueira","As Pontes","Galicia, A Coruña, Ortigueira",43.6843141,-7.8543679
"9","Galicia","A Coruña","As Pontes","As Pontes","Galicia, A Coruña, As Pontes",43.4502183,-7.853109
"10","Galicia","A Coruña","San Sadurniño","As Pontes","Galicia, A Coruña, San Sadurniño",43.53107965,-8.05318453677568
"11","Galicia","A Coruña","As Somozas","As Pontes","Galicia, A Coruña, As Somozas",43.5274722,-7.92159545778444
"12","Galicia","Lugo","Muras","As Pontes","Galicia, Lugo, Muras",43.4677732,-7.7297943
"13","Galicia","Lugo","Vilalba","As Pontes","Galicia, Lugo, Vilalba",43.2962819,-7.6787671
"14","Galicia","Lugo","Xermade","As Pontes","Galicia, Lugo, Xermade",43.355072,-7.8122096
"15","Galicia","A Coruña","A Laracha","Meirama","Galicia, A Coruña, A Laracha",43.2484663,-8.5816182
"16","Galicia","A Coruña","Carral","Meirama","Galicia, A Coruña, Carral",43.2297016,-8.3558882
"17","Galicia","A Coruña","Cerceda","Meirama","Galicia, A Coruña, Cerceda",43.1626367,-8.50347574751089
"18","Galicia","A Coruña","Ordes","Meirama","Galicia, A Coruña, Ordes",43.076756,-8.407816
"19","Galicia","A Coruña","Tordoia","Meirama","Galicia, A Coruña, Tordoia",43.0871726,-8.54713393202478
"20","Andalucia","Almeria","Carboneras","Carboneras","Andalucia, Almeria, Carboneras",36.9968699,-1.8946552
"21","Andalucia","Córdoba","Belmez","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Belmez",38.272413,-5.2078919
"22","Andalucia","Córdoba","Blázquez, Los","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Blázquez, Los",38.4049949744736,-5.43998562502068
"23","Andalucia","Córdoba","Espiel","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Espiel",38.1885533,-5.0189717
"24","Andalucia","Córdoba","Fuente Obejuna","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Fuente Obejuna",38.2667683,-5.4197812
"25","Andalucia","Córdoba","Granjuela, La","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Granjuela, La",38.3725014853258,-5.34818789655824
"26","Andalucia","Córdoba","Obejo","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Obejo",38.1325555,-4.8000174
"27","Andalucia","Córdoba","Peñarroya-Pueblonuevo","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Peñarroya-Pueblonuevo",38.3026178,-5.2714828
"28","Andalucia","Córdoba","Valsequillo","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Valsequillo",38.4049294,-5.3517078
"29","Andalucia","Córdoba","Villaharta","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Villaharta",38.1400552,-4.9037865
"30","Andalucia","Córdoba","Villanueva del Rey","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Villanueva del Rey",38.1982093,-5.1526791
"31","Andalucia","Córdoba","Villaviciosa de Córdoba","Puente Nuevo - Valle del Guadiato","Andalucia, Córdoba, Villaviciosa de Córdoba",38.0756277,-5.0146332
"32","Andalucia","Cádiz","Algeciras","Los Barrios","Andalucia, Cádiz, Algeciras",36.1311725,-5.4473991
"33","Andalucia","Cádiz","Barrios, Los","Los Barrios","Andalucia, Cádiz, Barrios, Los",36.1765436632862,-5.44091570134073
"34","Andalucia","Cádiz","Línea de la concepción, La","Los Barrios","Andalucia, Cádiz, Línea de la concepción, La",36.16726695,-5.36003050105377
"35","Andalucia","Cádiz","San Roque","Los Barrios","Andalucia, Cádiz, San Roque",36.2100586,-5.3868293
"36","Aragon","Teruel","Alacón","Aragón","Aragon, Teruel, Alacón",41.0227436,-0.697756
"37","Aragon","Teruel","Albalate del Arzobispo","Aragón","Aragon, Teruel, Albalate del Arzobispo",41.12419845,-0.572580523810357
"38","Aragon","Teruel","Alcorisa","Aragón","Aragon, Teruel, Alcorisa",40.8917513,-0.3820437
"39","Aragon","Teruel","Alloza","Aragón","Aragon, Teruel, Alloza",40.9694557,-0.5307157
"40","Aragon","Teruel","Andorra","Aragón","Aragon, Teruel, Andorra",40.9753365,-0.4442782
"41","Aragon","Teruel","Ariño","Aragón","Aragon, Teruel, Ariño",41.0305185,-0.5917829
"42","Aragon","Teruel","Azaila","Aragón","Aragon, Teruel, Azaila",41.2912333,-0.4942811
"43","Aragon","Teruel","Berge","Aragón","Aragon, Teruel, Berge",40.8577139,-0.4271096
"44","Aragon","Teruel","Calanda","Aragón","Aragon, Teruel, Calanda",40.9410139,-0.2312752
"45","Aragon","Teruel","Cañizar del Olivar","Aragón","Aragon, Teruel, Cañizar del Olivar",40.8165916,-0.6451058
"46","Aragon","Teruel","Castel de Cabra","Aragón","Aragon, Teruel, Castel de Cabra",40.8039689,-0.6979565
"47","Aragon","Teruel","Castellote","Aragón","Aragon, Teruel, Castellote",40.7992317,-0.3180374
"48","Aragon","Teruel","Castelnou","Aragón","Aragon, Teruel, Castelnou",41.228336,-0.3646998
"49","Aragon","Teruel","Crivillén","Aragón","Aragon, Teruel, Crivillén",40.88321,-0.5768456
"50","Aragon","Teruel","Ejulve","Aragón","Aragon, Teruel, Ejulve",40.7756477,-0.5544271
"51","Aragon","Teruel","Escucha","Aragón","Aragon, Teruel, Escucha",40.7946466,-0.8098411
"52","Aragon","Teruel","Estercuel","Aragón","Aragon, Teruel, Estercuel",40.8553349,-0.6318762
"53","Aragon","Teruel","Foz-Calanda","Aragón","Aragon, Teruel, Foz-Calanda",40.922231,-0.2665925
"54","Aragon","Teruel","Gargallo","Aragón","Aragon, Teruel, Gargallo",40.836081,-0.5837944
"55","Aragon","Teruel","Híjar","Aragón","Aragon, Teruel, Híjar",41.1747377,-0.4515985
"56","Aragon","Teruel","Jatiel","Aragón","Aragon, Teruel, Jatiel",41.2191924,-0.3811707
"57","Aragon","Teruel","Mata de los Olmos, La","Aragón","Aragon, Teruel, Mata de los Olmos, La",40.8661929,-0.5197817
"58","Aragon","Teruel","Molinos","Aragón","Aragon, Teruel, Molinos",40.8192763,-0.4503836
"59","Aragon","Teruel","Montalbán","Aragón","Aragon, Teruel, Montalbán",40.8405106,-0.794567461838211
"60","Aragon","Teruel","Oliete","Aragón","Aragon, Teruel, Oliete",40.9976521,-0.6732831
"61","Aragon","Teruel","Olmos, Los","Aragón","Aragon, Teruel, Olmos, Los",40.8661929,-0.5197817
"62","Aragon","Teruel","Palomar de Arroyos","Aragón","Aragon, Teruel, Palomar de Arroyos",40.7796665,-0.7502131
"63","Aragon","Teruel","Puebla de Híjar, La","Aragón","Aragon, Teruel, Puebla de Híjar, La",41.2239103566547,-0.442087235137746
"64","Aragon","Teruel","Samper de Calanda","Aragón","Aragon, Teruel, Samper de Calanda",41.1892077,-0.3882399
"65","Aragon","Teruel","Seno","Aragón","Aragon, Teruel, Seno",40.8125992,-0.3384393
"66","Aragon","Teruel","Urrea de Gaén","Aragón","Aragon, Teruel, Urrea de Gaén",41.1600888,-0.4705135
"67","Aragon","Teruel","Utrillas","Aragón","Aragon, Teruel, Utrillas",40.8127979,-0.8438735
"68","Aragon","Teruel","Vinaceite","Aragón","Aragon, Teruel, Vinaceite",41.2660396,-0.5793052
"69","Aragon","Zaragoza","Escatrón","Aragón","Aragon, Zaragoza, Escatrón",41.2870705,-0.3249532
"70","Asturias","Asturias","Allande","Suriccidente","Asturias, Asturias, Allande",43.23721815,-6.68850397856173
"71","Asturias","Asturias","Cangas del Narcea","Suriccidente","Asturias, Asturias, Cangas del Narcea",43.1774374,-6.5499784
